"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2013","KCR","2236","6093","112","648","620","153","6.9%","17.2%",".119",".300",".260",".315",".379",".305","","89","18.2","-57.4","39.6","19.4"
"2012","OAK","2247","6183","195","713","676","122","8.9%","22.4%",".166",".281",".238",".310",".404",".311","","97","19.4","0.3","-24.4","19.4"
"2013","ARI","2349","6334","130","685","647","62","8.2%","18.0%",".133",".301",".259",".323",".391",".314","","93","-18.5","-69.4","59.4","19.4"
"2008","MIN","2287","6331","111","829","791","102","8.4%","15.5%",".129",".316",".279",".340",".408",".328","","99","12.3","4.7","-30.5","19.3"
"2009","FLA","2394","6312","159","772","727","75","9.0%","19.4%",".148",".316",".268",".340",".416",".332","","97","4.5","-16.7","12.0","19.3"
"2018","PIT","2293","6066","157","692","665","70","7.8%","20.3%",".154",".298",".254",".317",".407",".312","","95","-13.3","-51.7","50.3","19.2"
"2018","SEA","2373","6087","176","677","644","79","7.1%","20.1%",".154",".295",".254",".314",".408",".313","","100","-7.0","-8.3","-12.5","19.1"
"2015","CLE","2285","6109","141","669","640","86","8.7%","18.9%",".144",".299",".256",".325",".401",".315","","97","8.1","-15.6","-4.5","19.1"
"2008","BAL","2340","6211","172","782","750","81","8.6%","15.9%",".162",".296",".267",".333",".429",".333","","99","-5.1","-17.0","-7.7","19.0"
"2021","MIL","2403","6099","194","738","700","82","9.6%","24.0%",".163",".283",".233",".317",".396",".310","","92","8.5","-52.2","37.1","19.0"
"2009","TEX","2158","6127","224","784","748","149","7.7%","20.5%",".185",".296",".260",".320",".445",".331","","92","9.1","-49.8","24.6","19.0"
"2011","PHI","2203","6279","153","713","693","96","8.6%","16.3%",".142",".283",".253",".323",".395",".315","","96","3.5","-29.5","17.9","19.0"
"2022","BAL","2359","6049","171","674","639","95","7.9%","23.0%",".154",".284",".236",".305",".390",".305","","99","12.0","2.6","-14.8","18.9"
"2022","TEX","2365","6029","198","707","670","128","7.6%","24.0%",".157",".287",".239",".301",".395",".305","","98","18.8","5.0","-16.7","18.9"
"2009","COL","2352","6241","190","804","760","106","10.6%","20.5%",".180",".305",".261",".343",".441",".341","","96","5.3","-29.7","22.8","18.9"
"2014","KCR","2273","6058","95","651","604","153","6.3%","16.3%",".113",".302",".263",".314",".376",".306","","92","4.8","-47.8","28.1","18.8"
"2021","PHI","2394","6089","198","734","700","77","9.3%","23.0%",".168",".286",".240",".318",".408",".313","","93","7.8","-46.0","27.4","18.6"
"2013","SDP","2359","6122","146","618","578","118","7.6%","21.4%",".133",".294",".245",".308",".378",".302","","94","8.8","-35.4","24.4","18.6"
"2018","ARI","2409","6157","176","693","658","79","9.1%","23.7%",".162",".286",".235",".310",".397",".306","","88","7.1","-81.0","70.8","18.5"
"2011","ATL","2322","6169","173","641","606","77","8.2%","20.4%",".144",".284",".243",".308",".387",".306","","91","-4.8","-70.5","57.9","18.5"
"2008","FLA","2361","6206","208","770","741","76","8.7%","22.1%",".179",".300",".254",".326",".433",".330","","96","5.7","-27.5","14.2","18.5"
"2011","SFG","2370","6091","121","570","534","85","7.4%","18.4%",".126",".281",".242",".303",".368",".295","","88","-6.5","-87.9","74.2","18.1"
"2014","NYY","2288","6082","147","633","591","112","7.4%","18.6%",".135",".282",".245",".307",".380",".305","","94","3.2","-38.5","11.7","18.1"
"2014","STL","2324","6086","105","619","585","57","7.7%","18.6%",".116",".300",".253",".320",".369",".308","","95","-15.5","-49.0","29.9","18.1"
"2022","BOS","2379","6144","155","735","704","52","7.8%","22.3%",".152",".313",".258",".321",".409",".319","","102","-11.6","3.8","-28.3","18.0"
"2015","BOS","2268","6237","161","748","706","71","7.7%","18.4%",".149",".305",".265",".325",".415",".321","","99","1.4","-5.9","-28.9","17.9"
"2015","WSN","2245","6117","177","703","665","57","8.8%","22.0%",".151",".300",".251",".321",".403",".315","","96","-2.3","-29.7","9.4","17.9"
"2019","PHI","2431","6261","215","774","742","78","9.0%","23.2%",".181",".293",".246",".319",".427",".314","","90","13.8","-65.6","49.6","17.9"
"2014","NYM","2294","6145","125","629","602","101","8.4%","20.6%",".126",".286",".239",".308",".364",".299","","92","-0.4","-56.0","32.6","17.8"
"2015","BAL","2249","6007","217","713","686","44","7.0%","22.2%",".171",".291",".250",".307",".421",".315","","97","-4.9","-23.9","-5.9","17.7"
"2008","LAA","2229","6155","159","765","721","129","7.8%","16.0%",".145",".299",".268",".330",".413",".324","","96","-1.0","-30.9","-6.5","17.6"
"2013","WSN","2241","6047","161","656","621","88","7.7%","19.7%",".146",".292",".251",".313",".398",".311","","94","3.1","-34.7","16.3","17.6"
"2016","TEX","2324","6089","215","765","746","99","7.2%","20.0%",".172",".298",".262",".322",".433",".324","","95","2.0","-37.0","-0.2","17.5"
"2009","ARI","2301","6269","173","720","686","102","9.1%","20.7%",".165",".299",".253",".324",".418",".324","","89","13.1","-75.3","53.6","17.5"
"2019","SEA","2347","6199","239","758","730","115","9.5%","25.5%",".187",".287",".237",".316",".424",".314","","99","13.4","4.2","-49.0","17.4"
"2015","SEA","2407","6131","198","656","624","69","7.8%","21.8%",".162",".292",".249",".311",".411",".313","","100","-23.1","-20.7","-15.8","17.4"
"2014","BOS","2283","6226","123","634","601","63","8.6%","21.5%",".124",".297",".244",".316",".369",".305","","89","-8.1","-82.9","44.8","17.3"
"2008","TOR","2244","6191","126","714","681","80","8.4%","15.2%",".135",".295",".264",".331",".399",".322","","94","-10.9","-60.7","19.1","17.3"
"2018","CIN","2402","6240","172","696","665","77","9.0%","22.1%",".148",".307",".254",".328",".401",".317","","94","-1.9","-44.8","19.0","17.2"
"2011","NYM","2383","6335","108","718","676","130","9.0%","17.1%",".127",".307",".264",".335",".391",".319","","102","11.1","25.0","-55.1","17.2"
"2021","CHC","2475","5972","210","705","672","86","8.4%","26.7%",".171",".296",".237",".312",".407",".311","","94","-8.6","-58.0","28.7","17.2"
"2019","LAA","2425","6251","220","769","734","65","9.4%","20.4%",".175",".281",".247",".324",".422",".316","","96","-6.1","-41.1","-8.3","17.1"
"2015","DET","2340","6159","151","689","660","83","7.4%","20.4%",".150",".322",".270",".328",".420",".324","","103","-27.6","-8.6","-31.6","17.1"
"2015","LAA","2459","5990","176","661","621","52","7.3%","19.2%",".150",".280",".246",".307",".396",".305","","95","0.5","-37.0","2.3","17.1"
"2014","COL","2387","6164","186","755","721","85","6.4%","20.8%",".169",".326",".276",".327",".445",".337","","97","-12.3","-33.1","2.2","17.0"
"2017","OAK","2350","6126","234","739","708","57","9.2%","24.3%",".190",".294",".246",".319",".436",".323","","103","-5.5","19.9","-53.7","17.0"
"2013","TOR","2314","6152","185","712","669","112","8.3%","18.3%",".158",".284",".252",".318",".411",".320","","99","3.8","-2.8","-39.1","17.0"
"2016","TBR","2281","6046","216","672","647","60","7.4%","24.5%",".182",".293",".243",".307",".426",".315","","98","-0.4","-13.0","-27.6","17.0"
"2008","DET","2267","6331","200","821","780","63","9.0%","17.0%",".173",".301",".271",".340",".444",".343","","106","-6.7","42.3","-93.8","16.8"
"2009","SEA","2150","6113","160","640","613","89","6.9%","17.9%",".144",".293",".258",".314",".402",".313","","89","-4.5","-87.0","40.0","16.8"
"2008","LAD","2376","6194","137","700","659","126","8.8%","16.7%",".134",".301",".264",".333",".399",".321","","93","5.1","-51.1","20.4","16.7"
"2018","MIN","2351","6154","166","738","704","47","8.7%","21.6%",".155",".298",".250",".318",".405",".313","","96","0.6","-30.5","-15.9","16.7"
"2016","ARI","2399","6260","190","752","709","137","7.4%","22.8%",".171",".315",".261",".320",".432",".321","","93","17.7","-39.9","5.9","16.7"
"2011","WSN","2341","6090","154","624","594","106","7.7%","21.7%",".140",".292",".242",".309",".383",".305","","89","3.7","-73.4","45.6","16.6"
"2014","MIA","2311","6185","122","645","614","58","8.1%","22.9%",".125",".316",".253",".317",".378",".307","","95","-5.6","-42.3","7.0","16.6"
"2009","SFG","2304","6057","122","657","612","78","6.5%","19.1%",".132",".302",".257",".309",".389",".305","","83","10.0","-118.1","94.0","16.6"
"2010","WSN","2410","6100","149","655","634","110","8.2%","20.0%",".140",".294",".250",".318",".390",".313","","90","-11.3","-84.4","59.9","16.6"
"2016","LAA","2419","6041","156","717","686","73","7.8%","16.4%",".145",".289",".260",".322",".405",".314","","99","-16.8","-27.4","-17.3","16.6"
"2013","NYM","2378","6207","130","619","593","114","8.2%","22.3%",".129",".291",".237",".306",".366",".297","","90","23.0","-49.2","16.1","16.5"
"2015","CIN","2337","6196","167","640","613","134","8.0%","20.3%",".146",".290",".248",".312",".394",".307","","91","10.9","-52.1","16.1","16.5"
"2021","CIN","2472","6162","222","786","756","36","9.0%","23.1%",".182",".296",".249",".328",".431",".327","","97","-15.1","-40.3","-2.2","16.5"
"2016","CHW","2217","6131","168","686","656","77","7.4%","21.0%",".153",".304",".257",".317",".410",".314","","97","-2.5","-27.2","-21.6","16.4"
"2021","NYY","2354","6060","222","711","666","63","10.2%","24.5%",".169",".285",".237",".322",".407",".317","","101","-15.1","-4.5","-37.5","16.4"
"2018","NYM","2333","6177","170","676","649","71","9.2%","22.7%",".154",".283",".234",".312",".389",".305","","94","2.6","-43.1","11.6","16.4"
"2015","SDP","2396","6019","148","650","623","82","7.1%","22.0%",".142",".292",".243",".300",".385",".298","","90","5.0","-63.2","31.5","16.4"
"2014","SEA","2333","5977","136","634","600","96","6.6%","20.6%",".132",".290",".244",".300",".376",".299","","94","3.2","-37.5","-1.5","16.4"
"2021","CLE","2300","5907","203","717","686","109","7.7%","23.5%",".169",".282",".238",".303",".407",".306","","93","7.4","-42.1","3.8","16.3"
"2017","LAA","2392","6073","186","710","678","136","8.6%","19.7%",".155",".277",".243",".315",".397",".307","","92","1.4","-61.3","21.6","16.3"
"2014","MIN","2292","6233","128","715","675","99","8.7%","21.3%",".135",".309",".254",".324",".389",".316","","100","20.9","23.8","-72.6","16.2"
"2017","CHW","2289","6059","186","706","670","71","6.6%","23.1%",".161",".309",".256",".314",".417",".313","","95","-1.9","-36.4","-5.1","16.0"
"2010","FLA","2300","6194","152","719","686","92","8.3%","22.2%",".149",".309",".254",".321",".403",".318","","92","22.5","-36.1","2.7","15.9"
"2012","NYM","2420","6091","139","650","625","79","8.3%","20.5%",".137",".298",".249",".316",".386",".306","","94","-3.2","-48.8","16.1","15.9"
"2016","MIN","2290","6245","200","722","690","91","8.2%","22.8%",".171",".300",".251",".316",".421",".317","","95","7.8","-28.5","-30.1","15.8"
"2010","CHW","2212","6118","177","752","710","160","7.6%","15.1%",".152",".292",".268",".332",".420",".332","","100","-8.1","-7.7","-56.3","15.7"
"2022","CHC","2388","6072","159","657","620","111","8.3%","23.8%",".148",".294",".238",".311",".387",".307","","97","-1.8","-19.5","-35.6","15.7"
"2022","SFG","2552","6117","183","716","683","64","9.3%","23.9%",".156",".284",".234",".315",".390",".311","","101","3.0","12.8","-69.5","15.7"
"2011","TOR","2265","6210","186","743","704","131","8.5%","19.1%",".164",".283",".249",".317",".413",".319","","97","12.1","-11.6","-46.8","15.6"
"2009","SDP","2348","6179","141","638","605","82","9.5%","19.1%",".138",".284",".242",".321",".381",".309","","93","-10.4","-67.1","28.9","15.5"
"2018","COL","2368","6178","210","780","748","95","8.2%","22.6%",".179",".304",".256",".322",".435",".325","","88","3.2","-85.1","44.7","15.5"
"2008","CHW","2298","6231","235","811","785","67","8.7%","16.3%",".185",".281",".263",".332",".448",".339","","101","-27.4","-17.7","-43.6","15.5"
"2014","CHC","2358","6102","157","614","590","65","7.2%","24.2%",".146",".296",".239",".300",".385",".303","","91","4.0","-59.5","15.2","15.4"
"2015","MIA","2297","5988","120","613","575","112","6.3%","19.2%",".124",".307",".260",".310",".384",".302","","91","-1.2","-67.3","26.9","15.3"
"2016","MIL","2342","6061","194","671","641","181","9.9%","25.5%",".163",".304",".244",".322",".407",".315","","92","5.2","-55.2","14.3","15.3"
"2022","CHW","2371","6123","149","686","654","58","6.3%","20.7%",".131",".304",".256",".310",".387",".306","","99","-3.0","-12.7","-36.9","15.3"
"2017","BOS","2334","6338","168","785","735","106","9.0%","19.3%",".149",".300",".258",".329",".407",".316","","91","4.9","-64.0","5.1","15.2"
"2009","WSN","2401","6273","156","710","685","73","9.8%","19.3%",".148",".302",".258",".337",".406",".327","","96","-5.7","-37.9","-7.6","15.1"
"2010","NYM","2348","6144","128","656","625","130","8.2%","17.8%",".134",".287",".249",".314",".383",".307","","89","10.6","-70.9","30.6","15.1"
"2009","DET","2350","6234","183","743","718","72","8.7%","17.9%",".156",".294",".260",".331",".416",".328","","94","0.4","-48.5","-19.9","15.0"
"2011","SDP","2355","6074","91","593","563","170","8.2%","21.7%",".112",".294",".237",".305",".349",".290","","86","18.2","-77.2","34.3","15.0"
"2018","TOR","2435","6076","217","709","680","47","8.2%","22.8%",".183",".286",".244",".312",".427",".319","","100","-27.1","-29.7","-31.9","14.9"
"2016","NYY","2308","6058","183","680","647","72","7.8%","19.6%",".153",".289",".252",".314",".405",".311","","92","10.6","-49.7","-12.3","14.8"
"2017","ATL","2374","6216","165","732","706","77","7.6%","19.0%",".150",".305",".263",".326",".412",".316","","89","4.3","-87.6","24.9","14.7"
"2014","CIN","2213","5978","131","595","562","122","6.9%","20.9%",".127",".284",".238",".296",".365",".294","","83","-1.2","-115.4","69.1","14.7"
"2008","OAK","2282","6138","125","646","610","88","9.4%","20.0%",".127",".289",".242",".318",".369",".306","","86","12.4","-92.7","27.1","14.7"
"2012","BAL","2282","6160","214","712","677","58","7.8%","21.3%",".170",".286",".247",".311",".417",".317","","96","-17.1","-44.0","-24.7","14.6"
"2009","OAK","2306","6247","135","759","723","133","8.4%","16.7%",".135",".298",".262",".328",".397",".320","","94","12.8","-38.0","-34.9","14.6"
"2013","NYY","2253","6044","144","650","614","115","7.7%","20.1%",".133",".285",".242",".307",".376",".301","","86","4.4","-89.2","28.1","14.6"
"2009","CLE","2188","6320","161","773","730","84","9.2%","19.2%",".153",".308",".264",".339",".417",".333","","100","-1.1","-0.7","-75.7","14.5"
"2009","CHC","2343","6244","161","707","678","56","9.5%","19.0%",".152",".296",".255",".332",".407",".324","","90","-13.2","-89.3","39.0","14.5"
"2011","CHC","2373","6130","148","654","610","69","6.9%","19.6%",".144",".301",".256",".314",".401",".314","","91","-17.7","-80.2","29.5","14.3"
"2012","TOR","2289","6094","198","716","677","123","7.8%","20.5%",".161",".281",".245",".309",".407",".311","","92","2.5","-55.8","-14.0","14.3"
"2017","COL","2374","6201","192","824","793","59","8.4%","22.7%",".171",".332",".273",".338",".444",".332","","88","-6.4","-105.8","38.3","14.2"
"2013","CHC","2294","6079","172","602","576","63","7.2%","20.2%",".154",".275",".238",".300",".392",".304","","90","-11.9","-78.3","27.3","14.1"
"2014","CLE","2391","6222","142","669","644","104","8.1%","19.1%",".136",".296",".253",".317",".389",".313","","98","9.9","-1.7","-65.6","14.1"
"2010","LAA","2236","6089","155","681","656","104","7.7%","17.6%",".142",".281",".248",".311",".390",".310","","94","-8.8","-54.2","-24.1","14.1"
"2008","SDP","2343","6244","154","637","615","36","8.3%","20.2%",".140",".294",".250",".317",".390",".311","","92","-4.2","-63.7","2.6","13.8"
"2008","CIN","2392","6188","187","704","677","85","9.0%","18.2%",".161",".278",".247",".321",".408",".319","","87","1.1","-103.2","43.7","13.8"
"2012","LAD","2356","6091","116","637","607","104","7.9%","19.0%",".122",".298",".252",".317",".374",".302","","90","-8.6","-81.9","28.9","13.8"
"2010","CHC","2307","6140","149","685","658","55","7.8%","20.1%",".145",".304",".257",".320",".401",".318","","90","-10.3","-81.7","29.0","13.8"
"2011","FLA","2348","6232","149","625","596","95","8.7%","20.0%",".142",".291",".247",".318",".388",".311","","92","2.1","-56.1","-3.7","13.7"
"2014","HOU","2229","6055","163","629","596","122","8.2%","23.8%",".141",".298",".242",".309",".383",".308","","98","3.6","-8.1","-57.9","13.7"
"2013","COL","2330","6152","159","706","673","112","6.9%","19.6%",".149",".317",".270",".323",".418",".324","","87","17.4","-72.7","15.1","13.7"
"2020","CHW","889","2267","96","306","294","20","7.9%","25.2%",".192",".314",".261",".326",".453",".334","","111","-0.5","30.6","7.9","13.5"
"2010","COL","2379","6265","173","770","741","99","9.3%","20.3%",".162",".310",".263",".336",".425",".333","","91","9.3","-62.0","2.5","13.5"
"2020","SDP","913","2231","95","325","312","55","9.1%","21.5%",".209",".291",".257",".333",".466",".341","","116","2.1","48.9","6.0","13.4"
"2011","HOU","2377","6150","95","615","579","118","6.5%","18.9%",".116",".308",".258",".311",".374",".301","","88","-0.6","-89.1","28.3","13.3"
"2014","CHW","2285","6077","155","660","625","85","6.9%","22.4%",".146",".306",".253",".310",".398",".312","","99","-13.1","-23.5","-46.4","13.3"
"2018","PHI","2474","6136","186","677","653","69","9.5%","24.8%",".158",".289",".234",".314",".393",".307","","91","2.9","-68.5","8.1","13.3"
"2010","LAD","2310","6140","120","667","621","92","8.7%","19.3%",".127",".299",".252",".322",".379",".309","","92","1.3","-60.6","3.4","13.3"
"2021","KCR","2368","5993","163","686","647","124","7.0%","21.0%",".147",".292",".249",".306",".396",".304","","88","13.2","-72.5","0.5","13.2"
"2020","LAD","921","2316","118","349","327","29","9.8%","20.3%",".227",".276",".256",".338",".483",".350","","120","-5.1","54.7","-5.0","13.2"
"2014","ARI","2274","6089","118","615","573","86","6.5%","19.1%",".127",".293",".248",".302",".376",".300","","83","1.5","-112.8","47.5","13.0"
"2014","ATL","2252","6064","123","573","545","95","7.8%","22.6%",".119",".298",".241",".305",".360",".296","","86","-4.4","-98.9","32.7","12.8"
"2009","NYM","2377","6159","95","671","631","122","8.5%","15.1%",".124",".307",".270",".335",".394",".320","","94","-5.4","-48.2","-16.8","12.8"
"2019","PIT","2441","6228","163","758","722","64","6.8%","19.5%",".156",".309",".265",".321",".420",".313","","92","-4.6","-72.8","5.6","12.8"
"2012","KCR","2249","6149","131","676","643","132","6.6%","16.8%",".135",".302",".265",".317",".400",".311","","94","-7.4","-50.8","-35.7","12.7"
"2009","HOU","2340","6040","142","643","616","113","7.4%","16.4%",".140",".293",".260",".319",".400",".315","","89","-18.0","-99.0","37.0","12.7"
"2015","MIL","2377","6024","145","655","624","84","6.8%","21.6%",".142",".303",".251",".307",".393",".304","","87","1.5","-87.9","20.7","12.6"
"2012","MIN","2271","6209","131","701","666","135","8.1%","17.2%",".130",".298",".260",".325",".390",".313","","95","0.7","-32.5","-57.5","12.6"
"2020","ATL","900","2344","103","348","338","23","10.2%","24.4%",".215",".322",".268",".349",".483",".355","","120","3.7","63.0","3.1","12.5"
"2021","SEA","2360","6010","199","697","673","64","8.9%","24.8%",".159",".273",".226",".303",".385",".300","","94","-7.1","-53.9","-28.0","12.3"
"2011","BAL","2262","6156","191","708","684","81","7.3%","18.2%",".156",".288",".257",".316",".413",".320","","96","-11.3","-39.1","-48.9","12.3"
"2016","ATL","2390","6192","122","649","615","75","8.1%","20.0%",".130",".305",".255",".321",".384",".304","","86","-6.1","-110.8","34.7","12.1"
"2015","MIN","2311","6017","156","696","661","70","7.3%","21.0%",".152",".292",".247",".305",".399",".305","","89","-5.5","-80.4","-2.1","12.1"
"2021","MIA","2436","5928","158","623","594","106","7.6%","26.2%",".139",".296",".233",".298",".372",".291","","83","0.4","-130.7","52.2","12.1"
"2017","KCR","2342","6027","193","702","660","91","6.5%","19.3%",".160",".295",".259",".311",".420",".312","","91","2.5","-65.6","-14.9","12.0"
"2022","LAA","2327","5977","190","623","600","77","7.5%","25.7%",".157",".289",".233",".297",".390",".300","","93","-0.8","-47.5","-29.4","11.9"
"2021","TEX","2252","5943","167","625","598","106","7.3%","23.2%",".143",".280",".232",".294",".375",".291","","83","-1.8","-124.2","40.9","11.9"
"2019","TOR","2354","6091","247","726","697","51","8.4%","24.9%",".192",".280",".236",".305",".428",".310","","92","-7.0","-66.5","-31.9","11.8"
"2019","COL","2452","6288","224","835","803","71","7.8%","23.9%",".190",".321",".265",".326",".456",".328","","87","1.6","-105.0","25.8","11.8"
"2016","KCR","2244","6052","147","675","640","121","6.3%","20.2%",".139",".309",".261",".312",".400",".307","","89","-4.3","-83.9","-7.9","11.8"
"2011","COL","2348","6275","163","735","697","118","8.8%","19.1%",".152",".300",".258",".329",".410",".324","","88","-1.8","-92.6","12.7","11.7"
"2014","SDP","2362","5905","109","535","500","91","7.9%","21.9%",".115",".277",".226",".292",".342",".283","","82","-6.2","-128.7","56.9","11.7"
"2011","CHW","2206","6159","154","654","625","81","7.7%","16.1%",".136",".280",".252",".319",".388",".312","","90","-9.9","-80.0","-13.9","11.7"
"2009","BAL","2281","6233","160","741","708","76","8.3%","16.3%",".147",".300",".268",".332",".415",".328","","93","-20.1","-74.3","-28.1","11.6"
"2014","TEX","2264","6026","111","637","597","105","6.9%","19.3%",".119",".305",".256",".314",".375",".305","","90","-1.8","-66.8","-17.0","11.6"
"2014","PHI","2282","6198","125","619","584","109","7.1%","21.1%",".121",".292",".242",".302",".363",".295","","86","10.6","-85.5","4.2","11.6"
"2021","LAA","2325","6016","190","723","691","79","7.7%","23.2%",".162",".294",".245",".310",".407",".308","","93","6.8","-43.7","-45.4","11.6"
"2015","OAK","2349","6171","146","694","661","78","7.7%","18.1%",".144",".288",".251",".312",".395",".308","","95","-1.0","-34.1","-60.7","11.3"
"2017","PHI","2308","6133","174","690","654","59","8.1%","23.1%",".159",".304",".250",".315",".409",".310","","87","-9.5","-109.5","15.1","11.3"
"2019","CHW","2311","6042","182","708","676","63","6.3%","25.6%",".153",".329",".261",".314",".414",".309","","92","5.3","-59.6","-42.3","11.3"
"2018","CHW","2348","6071","182","656","639","98","7.0%","26.3%",".160",".304",".241",".302",".401",".304","","92","-7.2","-67.5","-28.5","11.3"
"2012","CHC","2341","5967","137","613","570","94","7.5%","20.7%",".138",".286",".240",".302",".378",".297","","81","-6.0","-138.9","65.7","11.3"
"2021","COL","2344","6007","182","739","709","76","8.2%","22.6%",".165",".299",".249",".317",".414",".315","","81","12.4","-133.5","44.3","11.3"
"2018","TEX","2300","6163","194","737","696","74","9.0%","24.1%",".164",".292",".240",".318",".404",".315","","89","7.2","-77.4","-22.3","11.2"
"2017","TEX","2268","6122","237","799","756","113","8.9%","24.4%",".186",".291",".244",".320",".430",".321","","90","6.3","-70.2","-22.5","11.1"
"2010","CLE","2255","6165","128","646","601","91","8.8%","19.2%",".130",".293",".248",".322",".378",".311","","94","1.3","-40.7","-70.3","11.0"
"2021","ARI","2449","6144","144","679","644","43","8.7%","23.8%",".146",".295",".236",".309",".382",".301","","85","6.6","-113.2","15.7","10.9"
"2019","CIN","2462","6100","227","701","679","80","8.1%","23.5%",".178",".288",".244",".315",".422",".312","","85","-16.7","-138.0","54.8","10.8"
"2019","SDP","2413","6019","219","682","652","70","8.4%","26.3%",".172",".293",".238",".308",".410",".305","","89","-11.1","-101.1","20.2","10.8"
"2013","MIN","2332","6212","151","614","590","52","8.6%","23.0%",".138",".298",".242",".312",".380",".307","","91","1.2","-66.1","-35.4","10.8"
"2016","CIN","2287","6094","164","716","678","139","7.4%","21.1%",".152",".303",".256",".316",".408",".311","","89","-4.3","-89.9","3.3","10.8"
"2022","KCR","2372","6010","138","640","613","104","7.7%","21.4%",".136",".293",".244",".306",".380",".302","","93","2.2","-48.7","-40.6","10.7"
"2018","MIA","2434","6083","128","589","554","45","7.5%","22.8%",".119",".293",".237",".303",".357",".289","","83","-15.8","-138.9","54.3","10.7"
"2012","MIA","2269","6057","137","609","576","149","8.0%","20.3%",".138",".289",".244",".308",".382",".300","","87","2.5","-92.9","10.9","10.6"
"2017","BAL","2351","6140","232","743","713","32","6.4%","23.0%",".175",".306",".260",".312",".435",".318","","95","-14.9","-51.3","-47.9","10.6"
"2022","MIA","2384","5949","144","586","554","122","7.3%","24.0%",".133",".284",".230",".294",".363",".290","","88","-2.6","-84.2","-15.4","10.6"
"2021","DET","2341","5979","179","697","675","88","8.2%","25.3%",".158",".300",".242",".308",".399",".306","","94","1.2","-41.2","-57.3","10.5"
"2009","PIT","2195","6058","125","636","612","90","8.2%","18.9%",".135",".296",".252",".318",".387",".310","","86","-6.2","-113.0","27.8","10.5"
"2017","DET","2336","6150","187","735","699","65","8.2%","21.3%",".166",".306",".258",".324",".424",".321","","98","-19.8","-37.8","-63.4","10.4"
"2012","COL","2429","6183","166","758","716","100","7.3%","19.6%",".163",".321",".274",".330",".436",".331","","90","2.8","-73.8","-14.7","10.3"
"2008","SFG","2382","6145","94","640","606","108","7.4%","17.0%",".120",".305",".262",".321",".382",".309","","83","-15.4","-149.4","55.9","10.3"
"2012","PIT","2360","6014","170","651","620","73","7.4%","22.5%",".152",".291",".243",".304",".395",".304","","91","-0.3","-67.8","-17.0","10.2"
"2020","NYM","902","2279","86","286","278","20","8.6%","21.9%",".187",".320",".272",".348",".459",".347","","123","-11.1","55.1","-11.2","10.2"
"2017","PIT","2371","6136","151","668","635","67","8.5%","19.8%",".142",".286",".244",".318",".386",".304","","85","-2.2","-120.0","13.1","10.1"
"2013","SEA","2237","6172","188","624","597","49","8.6%","21.9%",".152",".279",".237",".306",".390",".307","","95","-6.9","-41.1","-66.7","10.0"
"2020","NYY","878","2210","94","315","301","27","11.4%","21.7%",".200",".280",".247",".342",".447",".341","","117","6.0","51.9","-8.8","9.9"
"2015","ATL","2340","6034","100","573","548","69","7.8%","18.3%",".108",".297",".251",".314",".359",".296","","84","-2.7","-115.5","22.4","9.9"
"2020","MIN","882","2168","91","269","258","14","8.6%","24.4%",".186",".283",".242",".315",".427",".319","","103","0.4","8.4","-2.4","9.9"
"2010","KCR","2190","6209","121","676","640","115","7.6%","14.6%",".126",".305",".274",".331",".399",".323","","98","-28.4","-42.1","-81.2","9.9"
"2020","SFG","974","2259","81","299","290","19","8.6%","22.1%",".187",".311",".263",".335",".451",".337","","112","-3.2","30.8","-12.9","9.9"
"2015","COL","2436","6071","186","737","702","97","6.4%","21.1%",".167",".313",".265",".315",".432",".321","","87","4.7","-91.9","-4.2","9.7"
"2016","SDP","2355","6000","177","686","654","125","7.5%","25.0%",".155",".291",".235",".299",".390",".297","","84","24.8","-92.3","-1.8","9.7"
"2020","TBR","946","2261","80","289","274","48","10.7%","26.9%",".187",".300",".238",".328",".425",".325","","111","5.6","35.1","4.0","9.7"
"2018","SDP","2380","6059","162","617","583","95","7.8%","25.1%",".145",".294",".235",".297",".380",".294","","84","-5.7","-122.0","28.1","9.6"
"2010","BAL","2240","6109","133","613","577","76","6.9%","17.3%",".127",".296",".259",".316",".386",".310","","87","-21.0","-111.8","-11.0","9.6"
"2008","ARI","2280","6156","159","720","683","58","9.5%","20.9%",".164",".299",".251",".327",".415",".324","","88","12.1","-83.9","-17.2","9.5"
"2011","CLE","2287","6142","154","704","671","89","8.0%","20.7%",".146",".297",".250",".317",".396",".314","","99","0.4","-8.5","-107.2","9.3"
"2017","SFG","2372","6137","128","639","612","76","7.6%","19.6%",".132",".294",".249",".309",".380",".296","","83","2.6","-134.1","15.8","8.9"
"2012","SEA","2236","6057","149","619","584","104","7.7%","20.8%",".135",".276",".234",".296",".369",".291","","87","0.1","-89.6","-30.3","8.9"
"2013","PHI","2310","6014","140","610","578","73","6.9%","20.0%",".135",".293",".248",".306",".384",".303","","89","-7.4","-81.9","-15.8","8.9"
"2017","SDP","2342","5954","189","604","576","89","7.7%","25.2%",".160",".287",".234",".299",".393",".298","","82","6.7","-132.7","20.1","8.9"
"2019","SFG","2493","6170","167","678","655","47","7.7%","23.3%",".153",".290",".239",".302",".392",".295","","82","-3.4","-149.1","43.6","8.9"
